Weather Station ID,Country,Name,Latitude,Longitude,Elevation,ICAO ID,WMO ID,IATA ID,Time Zone
2217,SE,Bjoernaengen / Hårbörsta,63.3736,13.1606,435.0,,2217.0,,Europe/Stockholm
2218,SE,Morsil / Bye,63.3167,13.65,400.0,,2218.0,,Europe/Stockholm
2219,SE,Gaddede A / Gussvattnet,64.5044,14.2208,553.0,,2219.0,,Europe/Stockholm
2223,SE,Stensjon / Nöjden,63.9667,13.7167,680.0,,2223.0,,Europe/Stockholm
2224,SE,Follinge-Vagskalet / Vägskälet,63.7667,14.4333,475.0,,2224.0,,Europe/Stockholm
2228,SE,Edevik / Björkede,64.05,12.95,453.0,,2228.0,,Europe/Stockholm
2230,SE,Gubbhoegen / Högbynäs,64.2183,15.5564,310.0,,2230.0,,Europe/Stockholm
2231,SE,Foellinge / Föllinge,63.6772,14.6081,362.0,,2231.0,,Europe/Stockholm
2232,SE,Norraker / Abborrholmberget,64.4333,15.6333,346.0,,2232.0,,Europe/Stockholm
2233,SE,Saxnaes / Saxnäs,64.9678,15.3792,545.0,,2233.0,,Europe/Stockholm
2234,SE,Stromsund / Näsviken,63.8667,15.5833,373.0,,2234.0,,Europe/Stockholm
2236,SE,Hallhaaxaasen / Hallhåxåsen,63.7694,15.3311,375.0,,2236.0,,Europe/Stockholm
2242,SE,Hoting / Andersnäset,64.0886,16.2389,241.0,,2242.0,,Europe/Stockholm
2243,SE,Krangede / Bölen,63.6839,16.95,219.0,,2243.0,,Europe/Stockholm
2252,SE,Idvattnet,64.45,17.0833,353.0,,2252.0,,Europe/Stockholm
2254,SE,Aasele / Söråsele,64.1661,17.3189,307.0,,2254.0,,Europe/Stockholm
2256,SE,Ristraesk / Risträsk,64.7344,17.4033,575.0,,2256.0,,Europe/Stockholm
2260,SE,Vaestmarkum / Östmarkum,63.1253,18.2556,142.0,,2260.0,,Europe/Stockholm
2261,SE,Lycksele / Hälsingfors,64.5494,18.7169,210.0,,2261.0,,Europe/Stockholm
2263,SE,Fredrika / Fristad,64.0756,18.3656,327.0,,2263.0,,Europe/Stockholm
2264,SE,Fredrika,64.0833,18.4167,300.0,,2264.0,,Europe/Stockholm
2265,SE,Hemling,63.6514,18.5503,182.0,,2265.0,,Europe/Stockholm
2271,SE,Norsjoe / Finnäs,64.9264,19.3786,309.0,,2271.0,,Europe/Stockholm
2278,SE,Skagsudde / Skeppsmalen,63.1833,19.0167,13.0,,2278.0,,Europe/Stockholm
2281,SE,Amal / Vänersvik,59.05,12.7,60.0,,2281.0,,Europe/Stockholm
2282,SE,Petistraesk / Petisträsk,64.5669,19.6986,258.0,,2282.0,,Europe/Stockholm
2287,SE,Holmon / Holmön,63.8069,20.8644,6.0,,2287.0,,Europe/Stockholm
2289,SE,Sydostbrotten / Sörböle,63.3333,20.1833,25.0,,2289.0,,Europe/Stockholm
2292,SE,Hoekmarksberget / Hökmark,64.4358,21.28,105.0,,2292.0,,Europe/Stockholm
2297,SE,Bjuroklubb / Bjuröklubb,64.4814,21.5792,40.0,,2297.0,,Europe/Stockholm
2302,SE,Idre-Storbo,61.84,12.2872,665.0,,2302.0,,Europe/Stockholm
2303,SE,Flatruet / Falkvålen,62.7292,12.7264,995.0,,2303.0,,Europe/Stockholm
2305,SE,Nashuvud / Ekenäs,58.9,13.25,50.0,,2305.0,,Europe/Stockholm
2311,SE,Saelen-Hoegfjaellshotellet / Färdkällan,61.1581,13.1139,744.0,,2311.0,,Europe/Stockholm
2314,SE,Lofsdalen / Västvallen,62.1,13.25,610.0,,2314.0,,Europe/Stockholm
2317,SE,Dravagen,62.0944,13.6117,566.0,,2317.0,,Europe/Stockholm
2319,SE,Boertnan / Börtnan,62.7558,13.8458,467.0,,2319.0,,Europe/Stockholm
2321,SE,Aelvdalen / Rot,61.2544,14.0386,252.0,,2321.0,,Europe/Stockholm
2325,SE,Kloevsjoehoejden / Sångbäcken,62.4961,14.1572,802.0,,2325.0,,Europe/Stockholm
2326,SE,Hamra,61.65,15.0,455.0,,2326.0,,Europe/Stockholm
2327,SE,Sveg / Sundsätt,62.0461,14.4069,357.0,,2327.0,,Europe/Stockholm
2328,SE,Alvdalen / Rot,61.25,14.0333,250.0,,2328.0,,Europe/Stockholm
2330,SE,Hunge,62.75,15.1,342.0,,2330.0,,Europe/Stockholm
2331,SE,Hunge,62.7514,15.0878,343.0,,2331.0,,Europe/Stockholm
2337,SE,Norrhoeg / Norrberg,62.2631,15.6708,320.0,,2337.0,,Europe/Stockholm
2342,SE,Fransta / Ålsta,62.5167,16.1833,105.0,,2342.0,,Europe/Stockholm
2343,SE,Torpshammar / Rombäck,62.4944,16.2775,99.0,,2343.0,,Europe/Stockholm
2346,SE,Delsbo / Håknorrbo,61.7833,16.55,90.0,,2346.0,,Europe/Stockholm
2347,SE,Delsbo / Åkre,61.8272,16.5419,71.0,,2347.0,,Europe/Stockholm
2349,SE,Sillre,62.7628,16.7392,205.0,,2349.0,,Europe/Stockholm
2354,SE,Raasta / Bosvedjan,62.4306,17.3447,80.0,,2354.0,,Europe/Stockholm
2367,SE,Alnon Island / Spikarna,62.3667,17.5333,33.0,,2367.0,,Europe/Stockholm
2372,SE,Holick / Hölick,61.6167,17.45,5.0,,2372.0,,Europe/Stockholm
2375,SE,Sanna,62.21,17.75,20.0,,2375.0,,Europe/Stockholm
2378,SE,Soderhamn Flygplats / Långvinds Bruk,61.4486,17.1639,26.0,,2378.0,,Europe/Stockholm
2403,SE,Naven / Skaven,58.6994,13.1111,53.0,,2403.0,,Europe/Stockholm
2404,SE,Arvika / Högvalta,59.6667,12.5833,78.0,ESKV,2404.0,,Europe/Stockholm
2407,SE,Malung A / Grimsmyrheden,60.6764,13.7072,303.0,,2407.0,,Europe/Stockholm
2409,SE,Amal / Vänersvik,59.05,12.7,60.0,,2409.0,,Europe/Stockholm
2411,SE,Arvika / Långvak,59.6747,12.6381,66.0,,2411.0,,Europe/Stockholm
2412,SE,Gustavsfors,60.15,13.8,190.0,,2412.0,,Europe/Stockholm
2413,SE,Brattmon / Klarabro,60.7569,12.7722,205.0,,2413.0,,Europe/Stockholm
2419,SE,Sookojan / Nolgård,59.3592,13.4719,46.0,,2419.0,,Europe/Stockholm
2420,SE,Mockfjard / Lindbyn,60.5167,14.95,193.0,,2420.0,,Europe/Stockholm
2422,SE,Asphyttan,59.6167,14.1833,130.0,,2422.0,,Europe/Stockholm
2423,SE,Sunne / Ulvsby,59.8644,13.1194,109.0,,2423.0,,Europe/Stockholm
2426,SE,Gustavsfors,60.1539,13.8019,187.0,,2426.0,,Europe/Stockholm
2428,SE,Atorp / Stensäng,59.1,14.3667,105.0,,2428.0,,Europe/Stockholm
2429,SE,Dagloesen / Gränäset,59.6619,14.1831,133.0,,2429.0,,Europe/Stockholm
2430,SE,Backa / Sätra,60.9167,15.1167,227.0,,2430.0,,Europe/Stockholm
2431,SE,Kloten,59.8703,15.2522,282.0,,2431.0,,Europe/Stockholm
2438,SE,Vingaker / Kåsta,59.0667,15.8333,60.0,,2438.0,,Europe/Stockholm
2440,SE,Amot / Åmot,60.9622,16.4311,162.0,,2440.0,,Europe/Stockholm
2441,SE,Mora / Vinäs,60.9608,14.5072,196.0,,2441.0,,Europe/Stockholm
2442,SE,Vintjarn / Vintjärn,60.8333,16.05,349.0,,2442.0,,Europe/Stockholm
2448,SE,Dunker / Öllösa,59.2,16.9167,33.0,,2448.0,,Europe/Stockholm
2451,SE,Vastra Banken / Fågelsundet,60.8833,17.9167,22.0,,2451.0,,Europe/Stockholm
2452,SE,Kilsbergen-Suttarboda / Svensboda,59.2994,14.8986,219.0,,2452.0,,Europe/Stockholm
2454,SE,Utvalnas / Utvalnäs,60.75,17.35,4.0,,2454.0,,Europe/Stockholm
2462,SE,Uppsala Universitet / Almtuna,59.8667,17.6333,13.0,,2462.0,,Europe/Stockholm
2465,SE,Stockholm / Johannesfred,59.35,17.95,22.0,,2465.0,,Europe/Stockholm
2468,SE,Stora Spaansberget / Spånsfäb,60.3822,15.1406,493.0,,2468.0,,Europe/Stockholm
2469,SE,Tullinge / Eklundshov,59.1789,17.9128,45.0,,2469.0,,Europe/Stockholm
2470,SE,Orskar / Askskär,60.5333,18.3833,5.0,,2470.0,,Europe/Stockholm
2472,SE,Skeppmora / Grindfallet,60.1228,15.1228,240.0,,2472.0,,Europe/Stockholm
2474,SE,Singo Island / Tranvik,60.1667,18.75,14.0,,2474.0,,Europe/Stockholm
2480,SE,Norrtalje / Väsby,59.85,18.7333,10.0,,2480.0,,Europe/Stockholm
2481,SE,Sala / Isätra,59.9097,16.6878,57.0,,2481.0,,Europe/Stockholm
2482,SE,Kerstinbo / Sälja,60.2689,16.9772,56.0,,2482.0,,Europe/Stockholm
2484,SE,Stockholm / Stocksund,59.35,18.0667,44.0,,2484.0,,Europe/Stockholm
2486,SE,Adelsoe / Hovgården,59.3583,17.5244,6.0,,2486.0,,Europe/Stockholm
2490,SE,Svanberga,59.8322,18.6347,15.0,,2490.0,,Europe/Stockholm
2493,SE,Soederarm / Österäng,59.7536,19.4089,15.0,,2493.0,,Europe/Stockholm
2494,SE,Soderarm / Österäng,59.75,19.4167,5.0,,2494.0,,Europe/Stockholm
2498,SE,Svenska Hogarna A / Kudoxa,59.4422,19.5022,12.0,,2498.0,,Europe/Stockholm
2502,SE,Dals-Ed / Vassända,58.9,12.0333,152.0,,2502.0,,Europe/Stockholm
2507,SE,Hud / Hoghem,58.6608,11.4178,80.0,,2507.0,,Europe/Stockholm
2510,SE,Ljungskile / Hälle,58.2167,11.9333,70.0,,2510.0,,Europe/Stockholm
